Datum	F	G	N	S	V
2021-05-26	Informatik|Information und Informationsverarbeitung|Menschenrechte|Steuerwesen|Straßenverkehr|Familie|soziale Sicherheit|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Strafrecht|Ausweis|Frau|Gesundheit|Gleichbehandlung	Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Arbeitslosenversicherung|Arbeitsrecht|Bürgerliches Recht|Apotheke|Ausweis|Familie|Gesundheit|Gesundheit	Bildung|Menschenrechte|Organisation des Unterrichtswesens	Gesundheit|junger Mensch|Gesundheit|junger Mensch|öffentliche Sicherheit|Internationale Beziehungen|Luftverkehr|Menschenrechte|Presse|Gesundheit|Handel|Industrie|Öffentliche Finanzen und Haushaltspolitik|Unternehmen und Wettbewerb|Gesundheit|Öffentliche Finanzen und Haushaltspolitik	Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Arbeitslosenversicherung|Arbeitsrecht|Bürgerliches Recht|Apotheke|Ausweis|Familie|Gesundheit|Gesundheit
2021-06-01	Verteidigung	Verteidigung	Verteidigung	Verteidigung	Verteidigung
2021-06-09	Gesundheit|junger Mensch|Strafrecht	Bildung|Hochschulausbildung|Organisation des Unterrichtswesens|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Gesundheit|junger Mensch|Strafrecht	Gesundheit|junger Mensch|Strafrecht	Öffentliche Finanzen und Haushaltspolitik|Umwelt|Gesundheit|junger Mensch|Strafrecht	Bildung|Hochschulausbildung|Organisation des Unterrichtswesens|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Gesundheit|junger Mensch|Strafrecht
2021-06-16	Familienleistungsausgleich|Ausweis|Gesundheit|Abfall|Abfallwirtschaft|Agrarerzeugnisse und Lebensmittel|Hochschulausbildung|Familie|Verteidigung|Zivildienst|Ausweis|Gesundheit|soziale Sicherheit|Strafrecht|Ausweis|Gesundheit|Strafrecht|Geschäftsordnung des Parlaments|Gesundheit|Haushaltskontrolle|Bauindustrie und öffentliches Bauwesen|Baupolitik|Gliedstaat|Raumordnung|Ausbildungsbeihilfe|Ausweis|Gesundheit|junger Mensch|Bildung|Familie|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens	Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|Europäische Union|Menschenrechte|Europäische Union	Handel|Industrie|Unternehmen und Wettbewerb|Internationale Beziehungen|Bildung|Forschung und geistiges Eigentum|Organisation des Unterrichtswesens|Wissenschaften|Gesundheit|junger Mensch|Frau|Gleichbehandlung|öffentliche Sicherheit|Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|Bildung|Gesundheit|Organisation des Unterrichtswesens|Bildung|Gesundheit|junger Mensch|Organisation des Unterrichtswesens|Sozialpolitik|Ausweis|Internationale Beziehungen|Menschenrechte|Bildung|Gesundheit|junger Mensch|Organisation des Unterrichtswesens|Sozialpolitik|ausländischer Staatsangehöriger|Sport|Gesundheit|Handel|Industrie|Kulturpolitik|Kunst|Tourismus|Unternehmen und Wettbewerb|Bildung|Gesundheit|junger Mensch|Organisation des Unterrichtswesens|Familie|Archiv|Exekutive|öffentliche Verwaltung|öffentlicher Dienst|Telekommunikation|Elektrizitätsindustrie|Gesetzgebungsverfahren|Gesundheit|Umwelt|Verkehr|Europäische Union|Menschenrechte|Handel|Industrie|Unternehmen und Wettbewerb	Gesundheit|Wirtschaft|Bürgerliches Recht|Handel|Industrie|soziale Sicherheit|Unternehmen und Wettbewerb|Internet|Telekommunikation|Handel|Industrie|Internet|Unternehmen und Wettbewerb|Tiermedizin|Tierschutz|Hochschulausbildung|Informatik|Information und Informationsverarbeitung|Flüchtling|junger Mensch|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Tourismus|Gesundheit|Tourismus|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Wirtschaft	Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|Europäische Union|Menschenrechte|Europäische Union
2021-06-17	Ausweis|Gesundheit|junger Mensch|Gesundheit|junger Mensch|Handel|Industrie|Unternehmen und Wettbewerb|internationales Abkommen|partizipative Demokratie|Umwelt|Verfassung|Ausweis|Gesundheit|junger Mensch|Land- und Forstwirtschaft, Fischerei|Umwelt|Steuerwesen|Straßenverkehr|Ausweis|Gesundheit|junger Mensch|Ausweis|Gesundheit|junger Mensch|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Umwelt|Betreuung von Pflegebedürftigen|Gesundheit|Krankenpflege|Öffentliche Finanzen und Haushaltspolitik|Forschung und geistiges Eigentum|Wissenschaften|Energie|Straßenverkehr|Umwelt|Umwelt|Wirtschaft|Land- und Forstwirtschaft, Fischerei|Umwelt|Agrarerzeugnisse und Lebensmittel|Gesundheit|Betreuung von Pflegebedürftigen|Gesundheit|Krankenpflege|Öffentliche Finanzen und Haushaltspolitik|Ausweis|Gesundheit|junger Mensch|Kulturpolitik|Kunst|Ausweis|Gesundheit|junger Mensch|Sport|Betreuung von Pflegebedürftigen|Einkommen|Krankenpflege|Öffentliche Finanzen und Haushaltspolitik|Verwaltung und Entlohnung des Personals|Gesundheit|Europäische Union|Flüchtling|Staatsangehöriger	soziale Sicherheit|Buchprüfung|Arbeitslosenversicherung|Sozialpolitik|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|öffentliches Eigentum|Beschäftigung und Arbeitsbedingungen|Betreuung von Pflegebedürftigen|Krankenpflege|vorschulische Erziehung|Handel|Industrie|Unternehmen und Wettbewerb|Arbeitsrecht|Betreuung von Pflegebedürftigen|Krankenpflege|Handel|Industrie|Unternehmen und Wettbewerb|Arbeitsrecht|Gesundheit|Zivilschutz|Forschung und geistiges Eigentum|Wissenschaften|Gesundheit	Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Forschung und geistiges Eigentum|Wissenschaften|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Zivilschutz	Schienentransport|Umwelt|Agrarerzeugnisse und Lebensmittel|Bildung|Organisation des Unterrichtswesens|Arbeitsrecht|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Gesundheit|Hochschulausbildung|Forschung und geistiges Eigentum|Wissenschaften|Beschäftigung und Arbeitsbedingungen|Europäische Union|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Gesundheit|Agrarerzeugnisse und Lebensmittel|Europäische Union|Forschung und geistiges Eigentum|Land- und Forstwirtschaft, Fischerei|Wissenschaften|Beschäftigung und Arbeitsbedingungen|Gesundheit|Gesundheit|Öffentliche Finanzen und Haushaltspolitik	soziale Sicherheit|Buchprüfung|Arbeitslosenversicherung|Sozialpolitik|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|öffentliches Eigentum|Beschäftigung und Arbeitsbedingungen|Betreuung von Pflegebedürftigen|Krankenpflege|vorschulische Erziehung|Handel|Industrie|Unternehmen und Wettbewerb|Arbeitsrecht|Betreuung von Pflegebedürftigen|Krankenpflege|Handel|Industrie|Unternehmen und Wettbewerb|Arbeitsrecht|Gesundheit|Zivilschutz|Forschung und geistiges Eigentum|Wissenschaften|Gesundheit
2021-07-07	soziale Sicherheit|Tourismus|Tiermedizin|Tierschutz|Fischerei|Jagd|Land- und Forstwirtschaft, Fischerei|ausländischer Staatsangehöriger|Flüchtling|Staatsangehöriger|Steuerwesen|Tourismus|Wirtschaft|Tourismus	Fischerei|Jagd|Land- und Forstwirtschaft, Fischerei|Beschäftigung und Arbeitsbedingungen|Öffentliche Finanzen und Haushaltspolitik|Umwelt	Bildung|Gesundheit|Organisation des Unterrichtswesens|Informatik|Information und Informationsverarbeitung|Menschenrechte|öffentliche Sicherheit|öffentliche Sicherheit|Exekutive|Presse|Wirtschaft|Berufsverband|Handel|Industrie|Unternehmen und Wettbewerb|Bürgerliches Recht|Exekutive|Presse|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Europarat|Frau|Gleichbehandlung|öffentliche Sicherheit|Strafrecht|öffentliche Sicherheit|Exekutive|Presse|Bildung|Organisation des Unterrichtswesens|Statistik|Ausweis|Behinderter|Frau|Gleichbehandlung|öffentliche Sicherheit|Internationale Beziehungen|Bildung|Gesundheit|Organisation des Unterrichtswesens|direkt gewählte Kammer|Verteidigung|Europäische Union|Informatik|Information und Informationsverarbeitung|Menschenrechte|öffentliche Sicherheit|Informatik|Information und Informationsverarbeitung|Menschenrechte|öffentliche Sicherheit|Berufsverband|Elektrizitätsindustrie|Betreuung von Pflegebedürftigen|Gesundheit|Krankenpflege|soziale Sicherheit|Bildung|Gesundheit|Organisation des Unterrichtswesens	Elektrizitätsindustrie|Verteidigung|Elektrizitätsindustrie|öffentliche Sicherheit|Zivilschutz|Beschäftigung und Arbeitsbedingungen|Betreuung von Pflegebedürftigen|Gesundheit|Krankenpflege|Einkommen|Verwaltung und Entlohnung des Personals|Agrarerzeugnisse und Lebensmittel|Forschung und geistiges Eigentum|Land- und Forstwirtschaft, Fischerei|Wissenschaften|soziale Sicherheit|Tourismus|Agrarerzeugnisse und Lebensmittel|Gesundheit|Agrarerzeugnisse und Lebensmittel|Gesundheit|Altersversorgungssystem|Tourismus|Bildung|Gesundheit|Organisation des Unterrichtswesens|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Informatik|Information und Informationsverarbeitung|Religion|Handel|Industrie|internationales Arbeitsrecht|Menschenrechte|Unternehmen und Wettbewerb|Tourismus	Fischerei|Jagd|Land- und Forstwirtschaft, Fischerei|Beschäftigung und Arbeitsbedingungen|Öffentliche Finanzen und Haushaltspolitik|Umwelt
2021-07-08	Gesundheit|Informatik|Information und Informationsverarbeitung|Verfassung|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Beschäftigung und Arbeitsbedingungen|Gesundheit|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Fischerei|Jagd|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Betreuung von Pflegebedürftigen|Krankenpflege|Verwaltungsorganisation|Betreuung von Pflegebedürftigen|Krankenpflege|Verwaltungsorganisation|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Hochschulausbildung|Gesundheit|Gesundheit|soziale Sicherheit|Gliedstaat|Haushaltskontrolle|Gesundheit|soziale Sicherheit|ausländischer Staatsangehöriger|Flüchtling|öffentliche Sicherheit|Straßen- und Brückenbau|Gesundheit|Handel|Industrie|Öffentliche Finanzen und Haushaltspolitik|Unternehmen und Wettbewerb|Wirtschaft|Öffentliche Finanzen und Haushaltspolitik|Zivilschutz	Internationale Beziehungen|Menschenrechte|Presse|Wahl|Gesundheit|öffentliches Eigentum|Verteidigung|Zivilschutz|Gesundheit|namentliche Abstimmung|Zivilschutz|Energie|Umwelt|Verfassung|soziale Sicherheit	Energie|Umwelt|Verfassung|Apotheke|Gesundheit|Informatik|Information und Informationsverarbeitung|Öffentliche Finanzen und Haushaltspolitik|Vereinsleben|Versammlungsfreiheit|Wirtschaft	Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Handel|Industrie|Preis|Steuerwesen|Unternehmen und Wettbewerb|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Exekutive|Presse|Energie|Umwelt|Verfassung|Familie|Gesundheit|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Internet|Bildung|Gesundheit|Organisation des Unterrichtswesens|Straßenverkehr|Exekutive|Presse|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Finanzwesen|Preis|Steuerwesen|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Straßen- und Brückenbau	Internationale Beziehungen|Menschenrechte|Presse|Wahl|Gesundheit|öffentliches Eigentum|Verteidigung|Zivilschutz|Gesundheit|namentliche Abstimmung|Zivilschutz|Energie|Umwelt|Verfassung|soziale Sicherheit
2021-07-19	Behinderter|Bildung|Organisation des Unterrichtswesens|Beschäftigung und Arbeitsbedingungen|Flüchtling|Behinderter|Bildung|Organisation des Unterrichtswesens|Exekutive|Misstrauensantrag|Öffentliche Finanzen und Haushaltspolitik|Wasserbau|Zivilschutz	Öffentliche Finanzen und Haushaltspolitik|Zivilschutz|Straßen- und Brückenbau		Exekutive|Misstrauensantrag	Öffentliche Finanzen und Haushaltspolitik|Zivilschutz|Straßen- und Brückenbau
2021-09-22	Elektrizitäts- und Kernkraftindustrie|Informatik|Information und Informationsverarbeitung|Internationale Beziehungen|Öffentliche Finanzen und Haushaltspolitik|Politik der Zusammenarbeit|Vereinte Nationen|ausländischer Staatsangehöriger|Flüchtling|Gesundheit|Gliedstaat|soziale Sicherheit|Gesundheit|Menschenrechte|öffentliche Sicherheit|Bildung|Organisation des Unterrichtswesens|Beschäftigung und Arbeitsbedingungen|junger Mensch|Öffentliche Finanzen und Haushaltspolitik|Straßen- und Brückenbau|Bildung|Organisation des Unterrichtswesens|Energie|Preis|Sozialpolitik|Fernsehen|Frau|Gleichbehandlung|Hörfunk|Bildung|Organisation des Unterrichtswesens|Energie|Preis|Sozialpolitik|Gesundheit|Gesundheit|Menschenrechte|Behinderter|Gesundheit|Gesundheit|Gliedstaat|soziale Sicherheit|Gesundheit|Menschenrechte|Beschäftigung und Arbeitsbedingungen|junger Mensch|Öffentliche Finanzen und Haushaltspolitik|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Gliedstaat|Straßenverkehr|Flüchtling|öffentliche Sicherheit|Fischerei|Jagd|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Umwelt|Beschäftigung und Arbeitsbedingungen|Tourismus|Behinderter|Gesundheit|Menschenrechte|Behinderter|Gesundheit|Menschenrechte|Gesundheit|Sport|Geschäftsordnung des Parlaments|Frau|Gesundheit|Gleichbehandlung	Elektrizitäts- und Kernkraftindustrie|Gesundheit|Bildung|Organisation des Unterrichtswesens|Gesundheit|Internationale Beziehungen|Menschenrechte|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Bildung|Organisation des Unterrichtswesens	Forschung und geistiges Eigentum|Hochschulausbildung|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften|Elektrizitäts- und Kernkraftindustrie|Europäische Union|Flüchtling|Museum|Europäische Union|Handel|Industrie|Unternehmen und Wettbewerb|Internationale Beziehungen|Kulturpolitik|Kunst|Frau|Gleichbehandlung|Opferhilfe|Strafrecht|Handel|Industrie|Informatik|Information und Informationsverarbeitung|Unternehmen und Wettbewerb|Forschung und geistiges Eigentum|Informatik|Information und Informationsverarbeitung|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften|Altersversorgungssystem|Gesundheit|Menschenrechte|Arbeitslosenversicherung|Arbeitsrecht|Berufsverband|Verteidigung|Arbeitsrecht|Gesundheit|Berufsverband|Handel|Industrie|Politische Partei|Unternehmen und Wettbewerb|Wahl|Europäische Union|Menschenrechte|Bildung|Organisation des Unterrichtswesens|Kulturpolitik|Kunst|Steuerwesen|Europäische Union|Menschenrechte|Familie|vorschulische Erziehung|Altersversorgungssystem|soziale Sicherheit|Verfassung|Exekutive|Informatik|Information und Informationsverarbeitung|Bildung|Organisation des Unterrichtswesens|Informatik|Information und Informationsverarbeitung|Öffentliche Finanzen und Haushaltspolitik|Vereinsleben|Versammlungsfreiheit|Wirtschaft|Geschäftsordnung des Parlaments	Finanzwesen|Gesundheit|Finanzwesen|Elektrizitäts- und Kernkraftindustrie|Finanzwesen|Gesundheit|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|junger Mensch|Unternehmen und Wettbewerb|Finanzwesen|Gesundheit|Finanzwesen|Gesundheit|Finanzwesen|Gesundheit|Europäische Union|Internationale Beziehungen|Menschenrechte|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|junger Mensch|Unternehmen und Wettbewerb|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Wirtschaft|ethnische Gruppe|Menschenrechte|Finanzwesen|Finanzwesen|Gesundheit|Finanzwesen|Gesundheit|Erwachsenenbildung|Finanzwesen|Gesundheit|Finanzwesen|Gesundheit|Finanzwesen|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|vorschulische Erziehung|Bildung|Organisation des Unterrichtswesens|Bildung|Familie|Organisation des Unterrichtswesens|Familienleistungsausgleich|Primarstufe|Frau|Gesundheit|Gleichbehandlung|junger Mensch|Bildung|Gesundheit|junger Mensch|Organisation des Unterrichtswesens|Bildung|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens|Primarstufe|Bildung|Familie|Organisation des Unterrichtswesens|vorschulische Erziehung|Gesundheit|Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|Exekutive|Gesundheit|junger Mensch|Presse|Flüchtling|junger Mensch|Fernsehen|Geschäftsordnung des Parlaments|Hörfunk|Beschäftigung und Arbeitsbedingungen|Gesundheit|Hochschulausbildung|Geschäftsordnung des Parlaments|Exekutive|Gesundheit|junger Mensch|Presse|Bildung|Gesundheit|Organisation des Unterrichtswesens	Elektrizitäts- und Kernkraftindustrie|Gesundheit|Bildung|Organisation des Unterrichtswesens|Gesundheit|Internationale Beziehungen|Menschenrechte|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Bildung|Organisation des Unterrichtswesens
2021-10-05		Flüchtling|junger Mensch			Flüchtling|junger Mensch
2021-10-12	Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Tourismus|Hochschulausbildung|Kulturpolitik|Kunst|Gesundheit|Strafrecht|Betreuung von Pflegebedürftigen|Exekutive|Krankenpflege|Kulturpolitik|Kunst|Religion|Strafrecht|Gesundheit|Betreuung von Pflegebedürftigen|Krankenpflege|Familie|junger Mensch|Strafrecht|Religion|Tiermedizin|Tierschutz|Gesundheit|Hochschulausbildung|Betreuung von Pflegebedürftigen|Krankenpflege|Betreuung von Pflegebedürftigen|Exekutive|Krankenpflege|Energie|Preis|Sozialpolitik|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Exekutive|öffentliche Verwaltung|öffentlicher Dienst|Exekutive|Misstrauensantrag|Exekutive|Presse	Bildung|Organisation des Unterrichtswesens	Exekutive|Presse	Betreuung von Pflegebedürftigen|Krankenpflege|Gesundheit|Hochschulausbildung|Frau|Gesundheit|Gleichbehandlung|junger Mensch|Archiv|Exekutive|Telekommunikation|Exekutive|Misstrauensantrag|Exekutive|Strafrecht|Archiv|Exekutive|Informatik|Information und Informationsverarbeitung|junger Mensch|Öffentliche Finanzen und Haushaltspolitik|Exekutive|Presse	Bildung|Organisation des Unterrichtswesens
2021-10-13	Energie|Preis|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Gesundheit|Beschäftigung und Arbeitsbedingungen|junger Mensch|Steuerwesen|Energie|Gesundheit	Hochschulausbildung|Gesundheit|Altersversorgungssystem|Notar|Rechtsanwalt|Gesundheit|Telekommunikation|Telekommunikation	Altersversorgungssystem|Öffentliche Finanzen und Haushaltspolitik|öffentliche Verwaltung|öffentlicher Dienst|Gesundheit|internationales Abkommen|Personenstand|Europäische Union|Flüchtling|Altersversorgungssystem|Handel|Industrie|Unternehmen und Wettbewerb|Internationale Beziehungen|Kulturpolitik|Kunst|Museum|Arbeitsrecht|Beschäftigung und Arbeitsbedingungen|Tourismus|ausländischer Staatsangehöriger|Bildung|Organisation des Unterrichtswesens|Internet|Tourismus|Familie|Öffentliche Finanzen und Haushaltspolitik|vorschulische Erziehung|Gesundheit|Steuerwesen|Altersversorgungssystem|Öffentliche Finanzen und Haushaltspolitik|Steuerwesen|Steuerwesen|Öffentliche Finanzen und Haushaltspolitik|vorschulische Erziehung	Europäische Union|Internationale Beziehungen|Bürgerliches Recht|Hochschulausbildung|soziale Sicherheit|Tourismus|Beschäftigung und Arbeitsbedingungen|Betreuung von Pflegebedürftigen|Krankenpflege|Öffentliche Finanzen und Haushaltspolitik|Energie|Steuerwesen|Arbeitsrecht|Tourismus|Einkommen|Frau|Gleichbehandlung|Kulturpolitik|Kunst|Verwaltung und Entlohnung des Personals|Bürgerliches Recht|Internet|Arbeitsrecht|Tourismus|Frau|Gleichbehandlung|partizipative Demokratie|Erwachsenenbildung|soziale Sicherheit|Tourismus|Beschäftigung und Arbeitsbedingungen|soziale Sicherheit|Tourismus|Gesundheit|Hochschulausbildung|Einkommen|Gliedstaat|Kulturpolitik|Kunst|Verwaltung und Entlohnung des Personals|Beschäftigung und Arbeitsbedingungen|Betreuung von Pflegebedürftigen|Krankenpflege|Beschäftigung und Arbeitsbedingungen|Betreuung von Pflegebedürftigen|Krankenpflege|Arbeitslosenversicherung|Steuerwesen|Umwelt	Hochschulausbildung|Gesundheit|Altersversorgungssystem|Notar|Rechtsanwalt|Gesundheit|Telekommunikation|Telekommunikation
2021-10-14	Bürgerliches Recht|Gesundheit|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Flüchtling|Politik der Zusammenarbeit|Energie|Preis|Fernsehen|Hörfunk|Steuerwesen|Abfall|Abfallwirtschaft|Steuerwesen|Umwelt|Abfall|Abfallwirtschaft|Agrarerzeugnisse und Lebensmittel|Umwelt|Gesundheit|Zivildienst|Kulturpolitik|Kunst|Museum|Energie|Preis|Sozialpolitik|Abfall|Abfallwirtschaft|Steuerwesen|Umwelt|Flüchtling|Exekutive|Presse|Gesundheit|Gesundheit|Bildung|Gesundheit|Organisation des Unterrichtswesens|Straßen- und Brückenbau|Gliedstaat|Schienentransport|Straßen- und Brückenbau	Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Steuerwesen|Straßenverkehr|Kulturpolitik|Kunst|soziale Sicherheit|Informatik|Information und Informationsverarbeitung|parlamentarischer Ausschuss|Verwaltungsorganisation	Steuerwesen|Straßenverkehr|Umwelt|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Steuerwesen|Straßenverkehr|Umwelt|Energie|Preis|Steuerwesen|Umwelt|Steuerwesen|Umwelt|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Gesundheit|Haushaltskontrolle|Gliedstaat|Schienentransport	Steuerwesen|Umwelt|Europäische Union|Fernsehen|Hörfunk|Internet|Öffentliche Finanzen und Haushaltspolitik|Wohnungspolitik|Abfall|Abfallwirtschaft|Handel|Industrie|Steuerwesen|Umwelt|Unternehmen und Wettbewerb|Arbeitslosenversicherung|Verfassung|Wohnungspolitik|Energie|Öffentliche Finanzen und Haushaltspolitik|Preis|Steuerwesen|Steuerwesen|Umwelt|Wohnungspolitik|Gliedstaat|Wirtschaft|Gliedstaat|Schienentransport|Exekutive|Informatik|Information und Informationsverarbeitung	Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Steuerwesen|Straßenverkehr|Kulturpolitik|Kunst|soziale Sicherheit|Informatik|Information und Informationsverarbeitung|parlamentarischer Ausschuss|Verwaltungsorganisation
2021-10-20		Flüchtling|junger Mensch			Flüchtling|junger Mensch
2021-11-04		Gliedstaat|Verfassung			Gliedstaat|Verfassung
2021-11-16	Bürgerliches Recht|Gesundheit|Parlamentsdebatte|Exekutive|Misstrauensantrag|Gesundheit|Sport|Zivilschutz|Bibliothek|Gesundheit|Kulturpolitik|Kunst|Museum|Öffentliche Finanzen und Haushaltspolitik|Öffentliche Finanzen und Haushaltspolitik|Sport|Vereinsleben|Versammlungsfreiheit|Arbeitsrecht|Bibliothek|Museum|Europäische Union|Flüchtling|Grenze|Internationale Beziehungen|Öffentliche Finanzen und Haushaltspolitik|Politik der Zusammenarbeit|Beschäftigung und Arbeitsbedingungen|junger Mensch|Öffentliche Finanzen und Haushaltspolitik|öffentliche Verwaltung|öffentlicher Dienst|Strafrecht|soziale Sicherheit|Strafrecht		Bauindustrie und öffentliches Bauwesen|Baupolitik|soziale Sicherheit|Arbeitsrecht|Beschäftigung und Arbeitsbedingungen|Erwachsenenbildung|Gesundheit|junger Mensch|Umwelt|Vereinte Nationen|Gesundheit|Wirtschaft|Familie|Steuerwesen|Behinderter|Gesundheit|junger Mensch|Sport|Land- und Forstwirtschaft, Fischerei|Umwelt|Wasserbau|Zivildienst|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Vereinte Nationen|Finanzwesen|Steuerwesen|Berufsverband|Handel|Industrie|Presse|Unternehmen und Wettbewerb|Berufsverband|Handel|Industrie|Presse|Unternehmen und Wettbewerb|Bildung|Organisation des Unterrichtswesens|Steuerwesen|Beschäftigung und Arbeitsbedingungen|Bildung|Familie|Organisation des Unterrichtswesens|vorschulische Erziehung|Informatik|Information und Informationsverarbeitung|Öffentliche Finanzen und Haushaltspolitik|Vereinsleben|Versammlungsfreiheit|Wirtschaft|Familie|vorschulische Erziehung|Altersversorgungssystem|soziale Sicherheit|Öffentliche Finanzen und Haushaltspolitik|Handel|Industrie|Unternehmen und Wettbewerb|Wirtschaft|öffentliche Verwaltung|öffentlicher Dienst|Steuerwesen|Steuerwesen|Exekutive|Misstrauensantrag|Apotheke|Gesundheit|Bürgerliches Recht|Steuerwesen|öffentliche Verwaltung|öffentlicher Dienst|Strafrecht	Öffentliche Finanzen und Haushaltspolitik|Sport|Strafrecht|Gerichtswesen|Steuerwesen|Gesundheit|Wirtschaft|Zivilschutz|Bildung|Organisation des Unterrichtswesens|Preis|Sozialpolitik|Gerichtswesen|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Wirtschaft	
2021-11-17	Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Wirtschaft|Beschäftigung und Arbeitsbedingungen|Bildung|Organisation des Unterrichtswesens|Tourismus|Familie|junger Mensch|Strafrecht|Familie|junger Mensch|Betreuung von Pflegebedürftigen|Krankenpflege|Einkommen|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Verwaltung und Entlohnung des Personals|ausländischer Staatsangehöriger|Flüchtling|Grenze|öffentliche Sicherheit|Bildung|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens|Frau|Gesundheit|Gleichbehandlung|Hochschulausbildung|Öffentliche Finanzen und Haushaltspolitik|Verteidigung|ausländischer Staatsangehöriger|Flüchtling|Grenze|Öffentliche Finanzen und Haushaltspolitik|Gesundheit|Gliedstaat|soziale Sicherheit|Gesundheit|Handel|Industrie|Öffentliche Finanzen und Haushaltspolitik|Unternehmen und Wettbewerb|Verteidigung|Beschäftigung und Arbeitsbedingungen|Europäische Union|Land- und Forstwirtschaft, Fischerei|Fischerei|Jagd|Land- und Forstwirtschaft, Fischerei|Einkommen|Verteidigung|Verwaltung und Entlohnung des Personals	Familie	Apotheke|Gesundheit|Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften	Menschenrechte|öffentliche Sicherheit|Menschenrechte|öffentliche Sicherheit|Familie|Steuerwesen|Arbeitsrecht|Gesundheit|Zivilschutz|Frau|Gleichbehandlung|junger Mensch|Öffentliche Finanzen und Haushaltspolitik|Familie|Bildung|Gesundheit|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens|Energie|Öffentliche Finanzen und Haushaltspolitik|Preis|Sozialpolitik|Arbeitsrecht|Gesundheit|Familie|Steuerwesen|Familie|Arbeitsrecht|Frau|Gesundheit|Gleichbehandlung|Betreuung von Pflegebedürftigen|Krankenpflege|Betreuung von Pflegebedürftigen|Gesundheit|Krankenpflege|Öffentliche Finanzen und Haushaltspolitik|Energie|Öffentliche Finanzen und Haushaltspolitik|Preis|Sozialpolitik|Beschäftigung und Arbeitsbedingungen|Gesundheit|Hochschulausbildung	Familie
